,0,1,2,3,4,5,6,7,8,9,10,11
0,328128.8441296248,-326508.9236946466,-3309733.8289752603,-2077576.2809963757,-2421426.2865839624,12153086.83688977,-10639361.309540601,-10516956.773769977,-11441904.870630236,-1804989.4980397872,706697.1398367782,1092156.8451179243
1,36965.827990338075,-28790.74883225137,-377316.74931829656,-244639.1337672441,-267570.3348939347,1404094.1400870418,-1218381.9024326222,-1214092.2365545242,-1314045.3453664414,-228738.45012295048,60538.09485449554,153435.70992635092
2,371024.3607735883,-638718.1166065275,-3669449.392601169,-1963272.6899692293,-3088481.4835656183,12805910.123636425,-11598414.781440262,-11080310.881179627,-12314771.916539364,-1186323.811022122,1512404.2719131154,174979.5192662202
3,115.55768867939278,1200.2694944993875,-5963.820980814628,-1454.469928947699,-8516.648678797945,23314.856464358712,-19601.257339076696,-18372.74794463618,-20228.337117527437,-5360.07972210483,423.7826822532158,4110.561366140882
4,-137.80208665181678,3486.2841157468633,-7460.218646823251,962.6983116127859,-15330.192389962178,29507.35867080546,-24078.69587863931,-21148.876897611426,-23834.317056660406,-8119.232784345657,51.281142074932944,6533.328384718865
5,141715.32591473925,-299314.5150295783,-1386091.4888800979,-671132.0189396519,-1250166.8959956744,4698418.37382889,-4340523.715575723,-4065343.834151389,-4575142.603445384,-277968.17447783914,723430.9034142935,-150176.5173805061
6,-304.31556074179707,1737.8971830790927,-1305.538381067759,1715.5936156329753,-5697.043131376045,6013.042957861679,-4566.647153751723,-3261.4023910399633,-3914.92437000882,-2464.7464931908453,-281.1571170689086,2136.352374383002
7,158.28919904036135,1777.142492533354,-7164.969858668852,-1385.6911772813544,-11054.847020280367,28032.917432995797,-23444.563817801325,-21742.29909669078,-24025.121725936035,-6491.630062552441,473.39990824077813,4998.970745328076
8,447993.3088184538,-752616.5604852226,-4437194.600310553,-2395861.9233312127,-3709473.946673262,15530936.677680034,-14038396.040584771,-13437223.696585054,-14915938.344800964,-1490737.5662185834,1779004.133197254,282811.11798356107
9,30796.330527020662,-24994.92653959132,-314062.5551972989,-202577.60358864727,-224099.48184067596,1166523.8004010797,-1013600.8072610446,-1008733.5114817473,-1092644.0457065282,-187476.06305282694,52964.51133650921,124023.57905263347
10,-578.0609990205106,5379.390476140275,-7535.429090042985,3778.977208141784,-19986.044609248158,30522.97315767163,-24190.918791325574,-19924.3491737688,-22976.709144234617,-10060.75614130927,-515.5807370160406,8395.955637206525
11,312861.4525672105,-1465319.706698033,-2845279.1458496368,-326696.49214059877,-3815709.675888057,7586784.303323747,-8301956.617997922,-6557254.836600568,-8248145.118192337,1938854.8537864427,3730902.0615774593,-3499023.200221289
12,84098.63045961536,-64691.38911494845,-865039.0265364478,-551065.782628563,-627876.479569872,3212612.096391449,-2790166.4083719295,-2773168.572667024,-3005405.4453171478,-519088.4758522285,145540.31370748108,343976.1853579993
13,82843.56532672548,-69292.63664254853,-840888.6293172545,-542737.8683670146,-598229.4259044455,3119547.1380046103,-2712593.8771934793,-2698875.3927325504,-2924217.138728344,-497428.54736657755,145194.8516711656,326654.94848108565
14,2582.117457679068,-904.3879652445185,-33074.30756435161,-14140.068186139251,-34887.30442110559,119909.41425778228,-105386.70232405415,-99913.97249127588,-110735.1258278369,-17460.919769659824,9340.713743331717,9267.75985033351
15,6048.6524377950045,-1645.7892222326677,-72904.12844900462,-43046.5015678028,-59159.61196622947,275417.70014865993,-236640.11458119765,-234504.71815867987,-253813.53740532626,-50070.1049052683,8858.30598370086,35862.69869433174
16,1516469.3542612172,-1042660.1489019874,-15428658.65434472,-10269738.767176323,-10593857.142969891,57805378.39519243,-49935398.57758914,-50023917.15916808,-53975141.068913266,-9823316.242008504,2034769.8957655765,6882129.00444515
17,1959.421954798867,1144.6460109962306,-29147.692031855728,-14421.512145146538,-28568.687679790455,111114.16610146682,-94804.49679743595,-92554.79246038092,-100634.06880005961,-21696.986384599455,3118.0624626497497,15913.52034228311
18,108380.55273257395,-105751.14709628074,-1096228.1863893326,-687788.7185060359,-803594.7452098295,4028655.7063570446,-3524804.498652608,-3484941.0182317505,-3790652.5655881222,-602287.468790461,230673.7032438511,367090.48776335455
19,105779.96315911043,-70830.20453865161,-1088623.992105209,-711406.6168342038,-767610.292553645,4072725.382890843,-3520593.896509828,-3517737.5641199616,-3800235.5830326746,-688566.3332624759,150842.68715271674,478148.82538319804
